n1,n2,n3,n4,n5,n6
1,2,5,6,41,42
1,2,5,6,43,44
1,2,5,7,9,11
1,2,5,7,10,12
1,2,5,7,13,15
1,2,5,7,14,16
1,2,5,7,17,19
1,2,5,7,18,20
1,2,5,7,21,23
1,2,5,7,22,24
1,2,5,7,25,27
1,2,5,7,26,28
1,2,5,7,29,31
1,2,5,7,30,32
1,2,5,7,33,35
1,2,5,7,34,36
1,2,5,7,37,39
1,2,5,7,38,40
1,2,5,7,41,43
1,2,5,7,42,44
1,2,5,8,9,12
1,2,5,8,10,11
1,2,5,8,13,16
1,2,5,8,14,15
1,2,5,8,17,20
1,2,5,8,18,19
1,2,5,8,21,24
1,2,5,8,22,23
1,2,5,8,25,28
1,2,5,8,26,27
1,2,5,8,29,32
1,2,5,8,30,31
1,2,5,8,33,36
1,2,5,8,34,35
1,2,5,8,37,40
1,2,5,8,38,39
1,2,5,8,41,44
1,2,5,8,42,43
1,2,5,9,13,17
1,2,5,9,14,18
1,2,5,9,15,19
1,2,5,9,16,20
1,2,5,9,21,25
1,2,5,9,22,26
1,2,5,9,23,27
1,2,5,9,24,28
1,2,5,9,29,33
1,2,5,9,30,34
1,2,5,9,31,35
1,2,5,9,32,36
1,2,5,9,37,41
1,2,5,9,38,42
1,2,5,9,39,43
1,2,5,9,40,44
1,2,5,10,13,18
1,2,5,10,14,17
1,2,5,10,15,20
1,2,5,10,16,19
1,2,5,10,21,26
1,2,5,10,22,25
1,2,5,10,23,28
1,2,5,10,24,27
1,2,5,10,29,34
1,2,5,10,30,33
1,2,5,10,31,36
1,2,5,10,32,35
1,2,5,10,37,42
1,2,5,10,38,41
1,2,5,10,39,44
1,2,5,10,40,43
1,2,5,11,13,19
1,2,5,11,14,20
1,2,5,11,15,17
1,2,5,11,16,18
1,2,5,11,21,27
1,2,5,11,22,28
1,2,5,11,23,25
1,2,5,11,24,26
1,2,5,11,29,35
1,2,5,11,30,36
1,2,5,11,31,33
1,2,5,11,32,34
1,2,5,11,37,43
1,2,5,11,38,44
1,2,5,11,39,41
1,2,5,11,40,42
1,2,5,12,13,20
1,2,5,12,14,19
1,2,5,12,15,18
1,2,5,12,16,17
1,2,5,12,21,28
1,2,5,12,22,27
1,2,5,12,23,26
1,2,5,12,24,25
1,2,5,12,29,36
1,2,5,12,30,35
1,2,5,12,31,34
1,2,5,12,32,33
1,2,5,12,37,44
1,2,5,12,38,43
1,2,5,12,39,42
1,2,5,12,40,41
1,2,5,13,21,29
1,2,5,13,22,30
1,2,5,13,23,31
1,2,5,13,24,32
1,2,5,13,25,33
1,2,5,13,26,34
1,2,5,13,27,35
1,2,5,13,28,36
1,2,5,13,37,45
1,2,5,14,21,30
1,2,5,14,22,29
1,2,5,14,23,32
1,2,5,14,24,31
1,2,5,14,25,34
1,2,5,14,26,33
1,2,5,14,27,36
1,2,5,14,28,35
1,2,5,14,38,45
1,2,5,15,21,31
1,2,5,15,22,32
1,2,5,15,23,29
1,2,5,15,24,30
1,2,5,15,25,35
1,2,5,15,26,36
1,2,5,15,27,33
1,2,5,15,28,34
1,2,5,15,39,45
1,2,5,16,21,32
1,2,5,16,22,31
1,2,5,16,23,30
1,2,5,16,24,29
1,2,5,16,25,36
1,2,5,16,26,35
1,2,5,16,27,34
1,2,5,16,28,33
1,2,5,16,40,45
1,2,5,17,21,33
1,2,5,17,22,34
1,2,5,17,23,35
1,2,5,17,24,36
1,2,5,17,25,29
1,2,5,17,26,30
1,2,5,17,27,31
1,2,5,17,28,32
1,2,5,17,41,45
1,2,5,18,21,34
1,2,5,18,22,33
1,2,5,18,23,36
1,2,5,18,24,35
1,2,5,18,25,30
1,2,5,18,26,29
1,2,5,18,27,32
1,2,5,18,28,31
1,2,5,18,42,45
1,2,5,19,21,35
1,2,5,19,22,36
1,2,5,19,23,33
1,2,5,19,24,34
1,2,5,19,25,31
1,2,5,19,26,32
1,2,5,19,27,29
1,2,5,19,28,30
1,2,5,19,43,45
1,2,5,20,21,36
1,2,5,20,22,35
1,2,5,20,23,34
1,2,5,20,24,33
1,2,5,20,25,32
1,2,5,20,26,31
1,2,5,20,27,30
1,2,5,20,28,29
1,2,5,20,44,45
1,2,6,7,9,12
1,2,6,7,10,11
1,2,6,7,13,16
1,2,6,7,14,15
1,2,6,7,17,20
1,2,6,7,18,19
1,2,6,7,21,24
1,2,6,7,22,23
1,2,6,7,25,28
1,2,6,7,26,27
1,2,6,7,29,32
1,2,6,7,30,31
1,2,6,7,33,36
1,2,6,7,34,35
1,2,6,7,37,40
1,2,6,7,38,39
1,2,6,7,41,44
1,2,6,7,42,43
1,2,6,8,9,11
1,2,6,8,10,12
1,2,6,8,13,15
1,2,6,8,14,16
1,2,6,8,17,19
1,2,6,8,18,20
1,2,6,8,21,23
1,2,6,8,22,24
1,2,6,8,25,27
1,2,6,8,26,28
1,2,6,8,29,31
1,2,6,8,30,32
1,2,6,8,33,35
1,2,6,8,34,36
1,2,6,8,37,39
1,2,6,8,38,40
1,2,6,8,41,43
1,2,6,8,42,44
1,2,6,9,13,18
1,2,6,9,14,17
1,2,6,9,15,20
1,2,6,9,16,19
1,2,6,9,21,26
1,2,6,9,22,25
1,2,6,9,23,28
1,2,6,9,24,27
1,2,6,9,29,34
1,2,6,9,30,33
1,2,6,9,31,36
1,2,6,9,32,35
1,2,6,9,37,42
1,2,6,9,38,41
1,2,6,9,39,44
1,2,6,9,40,43
1,2,6,10,13,17
1,2,6,10,14,18
1,2,6,10,15,19
1,2,6,10,16,20
1,2,6,10,21,25
1,2,6,10,22,26
1,2,6,10,23,27
1,2,6,10,24,28
1,2,6,10,29,33
1,2,6,10,30,34
1,2,6,10,31,35
1,2,6,10,32,36
1,2,6,10,37,41
1,2,6,10,38,42
1,2,6,10,39,43
1,2,6,10,40,44
1,2,6,11,13,20
1,2,6,11,14,19
1,2,6,11,15,18
1,2,6,11,16,17
1,2,6,11,21,28
1,2,6,11,22,27
1,2,6,11,23,26
1,2,6,11,24,25
1,2,6,11,29,36
1,2,6,11,30,35
1,2,6,11,31,34
1,2,6,11,32,33
1,2,6,11,37,44
1,2,6,11,38,43
1,2,6,11,39,42
1,2,6,11,40,41
1,2,6,12,13,19
1,2,6,12,14,20
1,2,6,12,15,17
1,2,6,12,16,18
1,2,6,12,21,27
1,2,6,12,22,28
1,2,6,12,23,25
1,2,6,12,24,26
1,2,6,12,29,35
1,2,6,12,30,36
1,2,6,12,31,33
1,2,6,12,32,34
1,2,6,12,37,43
1,2,6,12,38,44
1,2,6,12,39,41
1,2,6,12,40,42
1,2,6,13,21,30
1,2,6,13,22,29
1,2,6,13,23,32
1,2,6,13,24,31
1,2,6,13,25,34
1,2,6,13,26,33
1,2,6,13,27,36
1,2,6,13,28,35
1,2,6,13,38,45
1,2,6,14,21,29
1,2,6,14,22,30
1,2,6,14,23,31
1,2,6,14,24,32
1,2,6,14,25,33
1,2,6,14,26,34
1,2,6,14,27,35
1,2,6,14,28,36
1,2,6,14,37,45
1,2,6,15,21,32
1,2,6,15,22,31
1,2,6,15,23,30
1,2,6,15,24,29
1,2,6,15,25,36
1,2,6,15,26,35
1,2,6,15,27,34
1,2,6,15,28,33
1,2,6,15,40,45
1,2,6,16,21,31
1,2,6,16,22,32
1,2,6,16,23,29
1,2,6,16,24,30
1,2,6,16,25,35
1,2,6,16,26,36
1,2,6,16,27,33
1,2,6,16,28,34
1,2,6,16,39,45
1,2,6,17,21,34
1,2,6,17,22,33
1,2,6,17,23,36
1,2,6,17,24,35
1,2,6,17,25,30
1,2,6,17,26,29
1,2,6,17,27,32
1,2,6,17,28,31
1,2,6,17,42,45
1,2,6,18,21,33
